price,city,superficie,bains,chambres
1200,Ariana,152.0,0,3
1200,tunis,122.0,0,2
1340,Ariana,136.0,0,3
1100,Ariana,120.0,0,2
1300,Ariana,140.0,0,3
1300,Ariana,160.0,0,3
2100,Tunis,130.0,2,2
600,Sousse,90.0,1,2
90,Tunis,95.0,1,2
2900,Tunis,105.0,1,2
900,Ben Arous,100.0,1,2
1250,Tunis,70.0,1,1
3500,Tunis,10.0,3,4
1200,Ariana,152.0,0,3
1200,tunis,122.0,0,2
1340,Ariana,136.0,0,3
1100,Ariana,120.0,0,2
1300,Ariana,140.0,0,3
1300,Ariana,160.0,0,3
2100,Tunis,130.0,2,2
600,Sousse,90.0,1,2
90,Tunis,95.0,1,2
2900,Tunis,105.0,1,2
900,Ben Arous,100.0,1,2
180000,Tunis,54.0,1,1
1300,tunis,95.0,1,3
1000,Tunis,55.0,1,1
1150,Tunis,104.0,1,2
1040,Tunis,65.0,1,1
1500,Tunis,120.0,2,3
1249,Sousse,99.03274559193954,1,2
1500,Tunis,64.0,1,1
90,Tunis,56.0,1,2
950,tunis,50.0,1,1
500,Ariana,80.0,1,3
1200,tunis,96.0,1,2
1200,Sousse,120.0,2,2
1100,Ariana,108.0,1,2
4000,Tunis,170.0,3,3
1350,tunis,114.0,1,2
670,Ben Arous,120.0,1,3
950,Tunis,80.0,1,2
1160,Tunis,90.0,1,2
1697,tunis,75.0,0,1
750,Monastir,98.0,1,2
1050,Ariana,80.0,1,1
3000,Tunis,135.0,2,4
900,Tunis,72.0,1,1
1650,Tunis,99.03274559193954,1,1
400,La Manouba,40.0,1,1
1380,Tunis,99.03274559193954,1,1
1150,Tunis,99.03274559193954,1,0
1100,tunis,99.03274559193954,1,1
850,Monastir,99.0,1,2
650,Monastir,1.0,1,1
400,Ben Arous,55.0,1,2
850,Ben Arous,120.0,1,3
1600,Tunis,69.0,1,2
1100,Tunis,62.0,1,1
360000,Tunis,68.0,1,1
120,Ben Arous,55.0,1,2
400,Ben Arous,50.0,1,2
1000,Ben Arous,125.0,1,4
400,Ben Arous,50.0,1,2
1200,Nabeul,100.0,1,2
1450.0,Tunis,99.03274559193954,2,2
550,Tunis,55.0,1,2
750,Ben Arous,100.0,1,3
1100,Tunis,99.03274559193954,1,1
3300,Tunis,1.0,3,3
1350,Ben Arous,160.0,2,4
1200,Ben Arous,55.0,1,2
1600,Sousse,90.0,1,2
900,Sousse,120.0,1,3
1450,Sousse,120.0,2,3
