price,city,superficie,bains,chambres
1200.0,ariana,152.0,1,3
1200.0,tunis,122.0,1,2
1340.0,ariana,136.0,1,3
1100.0,ariana,120.0,1,2
1300.0,ariana,140.0,1,3
1300.0,ariana,160.0,1,3
2100.0,tunis,130.0,2,2
600.0,sousse,90.0,1,2
90.0,tunis,95.0,1,2
2900.0,tunis,105.0,1,2
900.0,ben arous,100.0,1,2
1250.0,tunis,70.0,1,1
3500.0,tunis,10.0,3,4
1200.0,ariana,152.0,1,3
1200.0,tunis,122.0,1,2
1340.0,ariana,136.0,1,3
1100.0,ariana,120.0,1,2
1300.0,ariana,140.0,1,3
1300.0,ariana,160.0,1,3
2100.0,tunis,130.0,2,2
600.0,sousse,90.0,1,2
90.0,tunis,95.0,1,2
2900.0,tunis,105.0,1,2
900.0,ben arous,100.0,1,2
180000.0,tunis,54.0,1,1
1300.0,tunis,95.0,1,3
1000.0,tunis,55.0,1,1
1150.0,tunis,104.0,1,2
1040.0,tunis,65.0,1,1
1500.0,tunis,120.0,2,3
1249.0,sousse,99.03274559193954,1,2
1500.0,tunis,64.0,1,1
90.0,tunis,56.0,1,2
950.0,tunis,50.0,1,1
500.0,ariana,80.0,1,3
1200.0,tunis,96.0,1,2
1200.0,sousse,120.0,2,2
1100.0,ariana,108.0,1,2
4000.0,tunis,170.0,3,3
1350.0,tunis,114.0,1,2
670.0,ben arous,120.0,1,3
950.0,tunis,80.0,1,2
1160.0,tunis,90.0,1,2
1697.0,tunis,75.0,1,1
750.0,monastir,98.0,1,2
1050.0,ariana,80.0,1,1
3000.0,tunis,135.0,2,4
900.0,tunis,72.0,1,1
1650.0,tunis,99.03274559193954,1,1
400.0,manouba,40.0,1,1
1380.0,tunis,99.03274559193954,1,1
1150.0,tunis,99.03274559193954,1,0
1100.0,tunis,99.03274559193954,1,1
850.0,monastir,99.0,1,2
650.0,monastir,1.0,1,1
400.0,ben arous,55.0,1,2
850.0,ben arous,120.0,1,3
1600.0,tunis,69.0,1,2
1100.0,tunis,62.0,1,1
360000.0,tunis,68.0,1,1
120.0,ben arous,55.0,1,2
400.0,ben arous,50.0,1,2
1000.0,ben arous,125.0,1,4
400.0,ben arous,50.0,1,2
1200.0,nabeul,100.0,1,2
1450.0,tunis,99.03274559193954,2,2
550.0,tunis,55.0,1,2
750.0,ben arous,100.0,1,3
1100.0,tunis,99.03274559193954,1,1
3300.0,tunis,1.0,3,3
1350.0,ben arous,160.0,2,4
1200.0,ben arous,55.0,1,2
1600.0,sousse,90.0,1,2
900.0,sousse,120.0,1,3
1450.0,sousse,120.0,2,3
900.0,nabeul,110.0,1,2
1200.0,ariana,73.0,1,1
3200.0,tunis,135.0,1,2
1250.0,tunis,60.0,1,1
2500.0,ariana,200.0,3,5
1200.0,tunis,115.0,2,2
1450.0,ariana,140.0,2,3
900.0,ben arous,90.0,1,2
1600.0,ariana,120.0,2,2
850.0,tunis,48.0,1,1
218000.0,tunis,99.03274559193954,1,1
880.0,tunis,100.0,1,2
880.0,tunis,80.0,1,2
950.0,tunis,69.0,1,2
1200.0,ben arous,85.0,1,1
950.0,tunis,110.0,1,2
2500.0,ariana,99.03274559193954,1,4
80.0,tunis,80.0,1,1
260000.0,ariana,72.0,1,1
1000.0,tunis,110.0,1,2
2000.0,tunis,204.0,2,3
110.0,tunis,80.0,1,1
1850.0,tunis,150.0,2,2
1100.0,sousse,100.0,2,3
1300.0,tunis,80.0,1,2
1650.0,tunis,150.0,2,3
1350.0,ariana,110.0,1,2
1550.0,ariana,110.0,2,2
1550.0,tunis,70.0,1,1
880.0,tunis,58.0,1,1
1100.0,ariana,65.0,1,1
1400.0,tunis,120.0,2,2
1470.0,tunis,119.0,1,2
1400.0,ariana,120.0,1,1
3100.0,tunis,180.0,3,3
980.0,tunis,60.0,1,1
1300.0,tunis,110.0,1,2
1500.0,sousse,66.0,1,1
1200.0,ariana,130.0,2,2
850.0,ariana,70.0,1,1
1250.0,ariana,99.03274559193954,2,3
1900.0,tunis,112.0,1,2
1550.0,ariana,140.0,2,3
1300.0,tunis,200.0,2,3
850.0,bizerte,100.0,1,2
1200.0,ariana,70.0,1,1
1650.0,ariana,130.0,1,2
1700.0,tunis,70.0,1,1
1100.0,ariana,120.0,1,2
1500.0,ariana,140.0,2,3
1050.0,tunis,99.03274559193954,1,2
1700.0,monastir,180.0,1,3
1199.0,ariana,150.0,2,3
1350.0,tunis,67.0,1,1
1300.0,nabeul,100.0,2,2
90.0,tunis,81.0,1,2
1300.0,tunis,65.0,1,1
1670.0,tunis,130.0,2,3
1300.0,tunis,130.0,1,2
1050.0,tunis,99.03274559193954,1,1
1500.0,tunis,99.03274559193954,2,1
1400.0,tunis,99.03274559193954,1,1
315000.0,tunis,99.03274559193954,1,2
1100.0,tunis,99.03274559193954,1,1
1900.0,tunis,99.03274559193954,2,2
1200.0,tunis,99.03274559193954,2,2
290000.0,tunis,99.03274559193954,2,3
1200.0,tunis,99.03274559193954,1,1
1150.0,sousse,65.0,1,1
1350.0,tunis,99.03274559193954,1,2
1600.0,tunis,115.0,1,2
1100.0,tunis,99.03274559193954,1,1
1450.0,tunis,100.0,1,2
1600.0,tunis,160.0,2,2
2500.0,tunis,75.0,1,1
1100.0,tunis,99.03274559193954,1,2
205000.0,tunis,99.03274559193954,1,2
1350.0,sousse,99.03274559193954,1,2
900.0,sousse,99.03274559193954,1,2
800.0,ariana,120.0,1,2
2800.0,tunis,200.0,3,3
1850.0,tunis,140.0,2,3
1380.0,tunis,140.0,2,3
750.0,tunis,40.0,1,1
800.0,ben arous,120.0,1,2
870.0,ben arous,100.0,1,2
1400.0,ben arous,100.0,1,1
600.0,tunis,45.0,1,1
1100.0,tunis,80.0,1,2
950.0,tunis,50.0,1,2
640.0,tunis,50.0,1,2
2800.0,tunis,80.0,2,1
940.0,ben arous,90.0,1,2
2200.0,tunis,175.0,3,3
1900.0,tunis,73.0,1,1
1600.0,tunis,100.0,1,2
2000.0,tunis,100.0,1,2
1900.0,tunis,99.03274559193954,1,2
1500.0,tunis,75.0,1,1
1300.0,tunis,95.0,1,2
600.0,ben arous,90.0,1,2
2500.0,tunis,10.0,1,2
1200.0,sousse,120.0,2,3
1200.0,sousse,75.0,1,1
1400.0,ariana,70.0,1,1
680.0,ben arous,90.0,1,2
1900.0,tunis,125.0,1,2
1200.0,ariana,63.0,1,1
2500.0,tunis,70.0,1,1
1100.0,tunis,118.0,1,1
900.0,ariana,62.0,1,1
1100.0,tunis,110.0,1,2
80.0,tunis,200.0,1,2
1450.0,tunis,110.0,1,2
3000.0,tunis,180.0,3,3
1250.0,tunis,90.0,1,4
650.0,bizerte,160.0,1,3
1000.0,tunis,50.0,1,1
950.0,tunis,45.0,1,1
1200.0,tunis,85.0,1,1
1050.0,nabeul,120.0,2,2
1250.0,tunis,100.0,1,2
2200.0,tunis,120.0,1,2
1200.0,sousse,99.03274559193954,1,2
1000.0,tunis,115.0,2,3
4000.0,tunis,130.0,1,4
500.0,monastir,74.0,1,2
2200.0,tunis,140.0,2,4
2800.0,tunis,160.0,2,3
3800.0,tunis,99.03274559193954,1,3
1250.0,ariana,100.0,1,2
1900.0,tunis,110.0,2,3
1400.0,ariana,106.0,2,1
1600.0,ariana,89.0,1,1
850.0,ariana,63.0,1,1
1300.0,sousse,90.0,1,2
798.0,bizerte,100.0,1,2
2200.0,ariana,230.0,3,3
2500.0,tunis,120.0,1,2
79.0,tunis,99.0,1,2
1200.0,sousse,140.0,1,3
1100.0,tunis,65.0,1,1
70.0,ariana,100.0,2,2
79.0,tunis,100.0,1,1
1350.0,ariana,160.0,2,2
1250.0,tunis,90.0,1,2
1050.0,tunis,55.0,1,1
2300.0,tunis,230.0,1,4
1250.0,tunis,60.0,1,1
75.0,tunis,80.0,1,1
1450.0,tunis,155.0,2,3
1300.0,sousse,89.0,1,2
1450.0,ariana,60.0,1,1
1200.0,tunis,120.0,1,2
80.0,ariana,70.0,1,1
700.0,ben arous,120.0,1,2
1300.0,tunis,80.0,1,2
850.0,monastir,120.0,2,1
750.0,monastir,60.0,1,1
1150.0,bizerte,149.0,2,3
900.0,monastir,120.0,1,2
1100.0,tunis,100.0,1,2
950.0,ariana,65.0,1,1
950.0,ariana,65.0,1,1
950.0,tunis,65.0,1,1
950.0,ariana,65.0,1,1
1350.0,ariana,140.0,3,3
900.0,ariana,90.0,1,2
800.0,tunis,90.0,1,2
1000.0,sousse,90.0,1,1
1800.0,tunis,65.0,1,1
1700.0,tunis,80.0,1,1
1400.0,tunis,135.0,1,3
1700.0,tunis,65.0,1,1
649.0,tunis,85.0,1,2
2350.0,tunis,140.0,2,2
1000.0,sousse,110.0,1,3
1300.0,sousse,120.0,2,2
1100.0,sousse,120.0,1,2
1400.0,sousse,70.0,1,1
1200.0,tunis,1.0,1,4
600.0,sousse,100.0,1,2
1900.0,tunis,104.0,1,2
1000.0,nabeul,130.0,2,1
900.0,ben arous,100.0,1,2
1450.0,sousse,150.0,1,3
1000.0,tunis,80.0,1,1
1500.0,sousse,120.0,1,1
120.0,ben arous,80.0,1,2
2000.0,tunis,100.0,1,3
500.0,sousse,50.0,1,1
150.0,ariana,170.0,2,3
120.0,ariana,120.0,1,1
120.0,ariana,80.0,1,1
1090.0,ariana,99.03274559193954,1,1
300.0,monastir,60.0,1,1
1500.0,sousse,140.0,1,3
1200.0,ariana,140.0,2,3
1500.0,ariana,99.03274559193954,2,3
1500.0,sousse,140.0,2,3
1400.0,tunis,99.03274559193954,2,2
245000.0,tunis,98.0,1,2
2900.0,tunis,190.0,3,3
90.0,bizerte,80.0,1,2
90.0,ariana,55.0,1,1
1200.0,ariana,76.0,1,1
1225.0,ariana,55.0,1,1
1450.0,ariana,79.0,1,1
80.0,ben arous,50.0,1,2
80.0,ben arous,50.0,1,2
80.0,ben arous,70.0,2,2
850.0,tunis,60.0,1,1
750.0,sfax,100.0,1,2
600.0,tunis,60.0,1,1
550.0,sousse,60.0,1,0
1500.0,tunis,100.0,1,2
2500.0,ariana,160.0,2,0
1500.0,tunis,100.0,1,2
1350.0,ariana,70.0,1,1
1500.0,ariana,65.0,1,1
1650.0,ariana,110.0,2,0
500.0,ben arous,50.0,1,1
1350.0,sousse,170.0,2,4
1600.0,tunis,160.0,2,3
70.0,ariana,111.0,1,1
2200.0,tunis,160.0,3,3
90.0,tunis,88.0,1,2
80.0,ben arous,100.0,1,1
690.0,sousse,120.0,1,3
590.0,sousse,80.0,1,2
1000.0,sousse,100.0,1,2
80.0,tunis,100.0,1,2
2400.0,tunis,148.0,1,3
100.0,ariana,85.0,1,2
1200.0,ariana,100.0,1,2
815.0,tunis,63.0,1,1
1200.0,tunis,61.0,1,1
4500.0,tunis,150.0,3,3
2200.0,tunis,100.0,1,2
1450.0,tunis,80.0,1,1
650.0,monastir,70.0,1,1
1000.0,tunis,70.0,1,1
1600.0,monastir,180.0,2,3
1500.0,monastir,110.0,1,2
550.0,monastir,90.0,1,2
1200.0,monastir,65.0,1,1
150000.0,tunis,80.0,1,2
2600.0,tunis,90.0,1,1
1300.0,tunis,100.0,1,2
330.0,gabes,100.0,1,2
1200.0,tunis,70.0,1,1
1500.0,ariana,140.0,2,3
650.0,tunis,50.0,1,1
120.0,tunis,85.0,1,1
850.0,tunis,70.0,1,2
1100.0,tunis,99.03274559193954,1,2
1400.0,ariana,84.0,1,1
450.0,tozeur,80.0,1,2
500.0,nabeul,50.0,1,1
1800.0,tunis,80.0,1,3
1170.0,tunis,90.0,1,2
500.0,nabeul,50.0,1,1
700.0,tunis,40.0,1,2
1600.0,tunis,50.0,1,1
1099.0,ariana,106.0,1,2
1750.0,ariana,170.0,1,4
100.0,tunis,70.0,1,1
1300.0,tunis,150.0,1,3
1200.0,sousse,50.0,1,1
1150.0,tunis,60.0,1,1
1300.0,tunis,60.0,1,1
750.0,tunis,60.0,1,1
750.0,tunis,60.0,1,1
1200.0,tunis,108.0,2,4
1650.0,ariana,160.0,2,3
100.0,ariana,70.0,1,1
100.0,ariana,90.0,1,1
100.0,ariana,50.0,1,1
1300.0,tunis,100.0,1,2
1800.0,tunis,110.0,1,3
1200.0,tunis,100.0,1,1
80.0,ariana,111.0,1,1
2400.0,tunis,120.0,2,2
1250.0,ariana,120.0,2,2
950.0,tunis,70.0,1,1
850.0,ariana,80.0,1,1
1000.0,ariana,100.0,1,2
2500.0,tunis,125.0,2,3
1250.0,tunis,130.0,1,2
1550.0,ariana,160.0,2,3
1500.0,ariana,160.0,2,3
1400.0,tunis,120.0,1,2
950.0,tunis,60.0,1,1
700.0,ben arous,80.0,1,3
1300.0,ariana,100.0,1,2
80.0,ben arous,50.0,1,2
100.0,ben arous,89.0,1,3
90.0,ben arous,120.0,1,3
1200.0,tunis,80.0,1,1
1800.0,ariana,120.0,2,2
1300.0,tunis,100.0,1,2
1400.0,ariana,90.0,1,2
1200.0,tunis,135.0,1,4
1300.0,ariana,110.0,1,3
1600.0,tunis,150.0,1,3
1800.0,tunis,130.0,1,3
1800.0,tunis,70.0,1,1
1050.0,ariana,80.0,1,1
1200.0,tunis,100.0,1,2
250.0,tunis,1.0,1,1
2200.0,tunis,160.0,2,3
4000.0,ariana,250.0,3,3
700.0,ariana,99.03274559193954,2,3
1100.0,ariana,70.0,1,1
1000.0,ariana,80.0,1,1
950.0,tunis,60.0,1,1
1900.0,ariana,120.0,2,2
1400.0,tunis,80.0,1,1
1200.0,tunis,1001.0,1,2
500.0,nabeul,70.0,1,1
1600.0,tunis,150.0,2,3
1300.0,ariana,120.0,1,2
1800.0,ariana,120.0,1,2
1000.0,ariana,160.0,1,3
1150.0,tunis,75.0,1,1
1300.0,tunis,115.0,2,2
1600.0,ariana,95.0,2,2
2400.0,tunis,160.0,3,3
1500.0,sousse,99.03274559193954,1,2
2000.0,ariana,110.0,1,2
1250.0,tunis,60.0,1,1
1600.0,tunis,120.0,1,2
120.0,ben arous,99.03274559193954,1,1
1300.0,sousse,99.03274559193954,1,2
700.0,tunis,1.0,1,2
1100.0,tunis,1.0,1,3
1350.0,tunis,134.0,2,3
1150.0,tunis,71.0,1,1
1799.0,tunis,120.0,3,2
1100.0,ariana,86.0,1,1
1700.0,tunis,240.0,3,3
1900.0,tunis,120.0,2,3
550.0,mahdia,65.0,1,1
1098.0,tunis,109.0,1,2
900.0,tunis,115.0,1,2
1250.0,tunis,60.0,1,1
850.0,ben arous,99.03274559193954,1,1
1300.0,sousse,99.03274559193954,1,2
1300.0,ariana,65.0,1,0
1400.0,tunis,75.0,1,1
