price,title,category,city,time,description,superficie,transType,bains,chambres
430000.0,À vendre S+3 haut standing à nasr 2,Appartements,Ariana,a minute ago,"JUST ON TIME IMMO met à votre disposition un appartement S+3 haut standing pour la vente à cité ennasr.
Il est composé par:
Un salon spacieux avec balcon 
Trois chambres à coucher avec dressing 
Cuisine équipé (P, H, F) avec séchoir
Une SDE invitée 
Une SDB 
L’appartement est équipé par un chauffage central et deux climatiseurs 
Une place de parking sous-sol 
Un cellier 
Pour plus d’information: Afficher le numéro ou Afficher le numéro",132.0,À Vendre,0,3
,Belle maison à la nouvelle médina3 - 94332726,Maisons et Villas,Ben Arous,10 minutes ago,"À vendre une villa en R+1 située dans une zone résidentielle sélectionnée et proche de toute commodité à la nouvelle Médina 2.
Elle est composée d'un Réez de chaussée avec un grand salon une cuisine aménagée, trois chambres à coucher et une SDE 
Le 1er étage est composé de quatre chambres à coucher, d’un grand salon, d'une cuisine aménagée et d'une salle d’eau.
Un grand jardin et un garage sont aussi disponibles.",500.0,À Vendre,3,4
330000.0,À vendre un joli appartement S2 à Chotrana 3,Appartements,Ariana,10 minutes ago,"Réf : SVF 981 
** Soukra Négoce vous propose à la vente un joli appartement S2 situé dans une résidence calme et sécurisée. 
** L'appartement se compose comme suit : un salon , une cuisine équipée avec un séchoir, deux chambres à coucher avec dressings et une salle de bain commune 
** une place de parking au sous-sol 
** Prix de vente: 330 MD
𝙋𝙤𝙪𝙧 𝙥𝙡𝙪𝙨 𝙙𝙚 𝙧𝙚𝙣𝙨𝙚𝙞𝙜𝙣𝙚𝙢𝙚𝙣𝙩𝙨 𝙘𝙤𝙣𝙩𝙖𝙘𝙩𝙚𝙯-𝙣𝙤𝙪𝙨 : 
 Afficher le numéro / Afficher le numéro
""𝙄𝙣𝙨𝙥𝙞𝙧𝙚́ 𝙙𝙚 𝙫𝙤𝙨 𝙗𝙚𝙨𝙤𝙞𝙣𝙨""",90.0,À Vendre,1,2
210000.0,𝐀̀ 𝐕𝐞𝐧𝐝𝐫𝐞 – 𝐄́𝐭𝐚𝐠𝐞 𝐝𝐞 𝐕𝐢𝐥𝐥𝐚 𝐒+𝟐 / 22009303,Maisons et Villas,Nabeul,15 minutes ago,"𝐀̀ 𝐕𝐞𝐧𝐝𝐫𝐞 – 𝐄́𝐭𝐚𝐠𝐞 𝐝𝐞 𝐕𝐢𝐥𝐥𝐚 𝐒+𝟐
 𝐃𝐚𝐫 𝐂𝐡𝐚𝐚̂𝐛𝐚𝐧𝐞, 𝐍𝐚𝐛𝐞𝐮𝐥 – 𝐩𝐫𝐞̀𝐬 𝐝𝐞 𝐥𝐚 𝐦𝐨𝐬𝐪𝐮𝐞́𝐞 𝐓𝐚𝐫𝐞𝐤 𝐈𝐛𝐧 𝐙𝐢𝐞𝐝
 𝐒𝐮𝐩𝐞𝐫𝐟𝐢𝐜𝐢𝐞 : 𝟏𝟔𝟎 𝐦²
 𝐏𝐨𝐬𝐬𝐢𝐛𝐢𝐥𝐢𝐭𝐞́ 𝐝𝐞 𝐛𝐚̂𝐭𝐢𝐫 𝐮𝐧 𝐚𝐮𝐭𝐫𝐞 𝐞́𝐭𝐚𝐠𝐞
 𝐏𝐫𝐢𝐱 : 𝟐𝟏𝟎 𝐌𝐃
𝐏𝐨𝐮𝐫 𝐩𝐥𝐮𝐬 𝐝'𝐢𝐧𝐟𝐨𝐫𝐦𝐚𝐭𝐢𝐨𝐧𝐬 𝐨𝐮 𝐮𝐧𝐞 𝐯𝐢𝐬𝐢𝐭𝐞 : 𝟐𝟐.𝟎𝟎𝟗.𝟑𝟎𝟑",160.0,À Vendre,1,2
315000.0,A vendre un appartement en s0 au lac 2,Appartements,tunis,22 minutes ago,"Century 21 Barros lac 2 vous propose pour la vente un appartement en s0 au RDC au lac 2

– Un salon
– kitchenette
– Une salle de douche
-Une place parking au sous sol
( usage bureautique ou habitation )

Pour plus d’informations ou pour organiser une visite, veuillez nous contacter sur le Tel/ WhatsApp : Afficher le numéro .
Email : [email protected]",41.0,À Vendre,1,1
160000.0,Maison s+3 à vendre,Maisons et Villas,Sousse,24 minutes ago,"منزل للبيع في مساكن وراء الموبلاتاكس 150م مساحة الأرض و 124م مبني شهادة ملكية جماعية جاهز للسكن 
مزيد التفاصيل في الواتساب
 Afficher le numéro",124.0,À Vendre,1,3
265000.0,Vente appartement à Sousse,Appartements,Sousse,27 minutes ago,"Résidence ""Hala"" sur la route de ceinture, face Fac de Droit:
- grand séjour + 2 chambres (105m²), meublé ou non (au choix)
- 4eme et dernier étage avec ascenseur 
- place de parking au sous sol (14m²)
- cuisine équipée 
- 2 balcons
- 2 climatiseurs
- chauffage central au gaz de ville 
- Gardien

Contact: tél: Afficher le numéro",105.0,À Vendre,1,2
300000.0,A VENDRE S+2 – WAHAT – TEL 56306032 – FB.7607,Appartements,Tunis,30 minutes ago,"FB.7607
Contacter notre agent en immobilier au Afficher le numéro / Afficher le numéro
A vendre un appartement S+2 jamais habité au 1er étage avec double ascenseur à Cité Wahat dans une résidence gardé et sécurisé proche de toute commodité. Il se Compose :
Deux chambres
Placard au couloir
Salon
Salle de douche
Cuisine bien équipée avec plaque hotte four plus un séchoir.
Chauffage central
NB:Enregistrement 1%
Parking sous sol",92.7,À Vendre,1,2
350000.0,A VENDRE – S+2 – LA NOUVELLE SOUKRA – TEL 56306032 – FB.8251,Appartements,Tunis,32 minutes ago,"FB.8251
Contacter notre agent en immobilière au Afficher le numéro / Afficher le numéro
A vendre appartement S+2 HST dans une résidence bien gardée et sécurisée à la nouvelle Soukra prés Clinique Soukra. Il se compose d’un salon avec terrasse, et une cuisine bien équipée avec les éléments plaque, hotte, et four. Il y a aussi deux chambres à coucher plus salle de bain. L’appartement est installé d’un chauffage central et climatisation.",92.0,À Vendre,1,2
240000.0,Appartements  2ème position  plage Hammam Ghzeez,Appartements,Nabeul,33 minutes ago,"A vendre Appartements Haut standing en 2ème position de la plage Hammam Ghzeez.
Appartement vue de mer de superficie de 100 m² composé de deux chambres à coucher, un salon, une cuisine et une salle d’eau.
Appartement avec titre foncier.
Fin des travaux Octobre  2025.
Prix : 240 000 Dt
Référence : VT926
TEL : Afficher le numéro / Afficher le numéro / Afficher le numéro
WhatsApp : Afficher le numéro / Afficher le numéro",100.0,À Vendre,1,2
,A vendre Appartement S+2 à La Soukra,Appartements,Ariana,41 minutes ago,"À 5 minutes de Carrefour La Marsa et à 10 minutes de Gammarth, notre agence immobilière REMAX One met à votre disposition un appartement S+2 de 109 m² à la vente, situé au RDC d’une résidence R+2 récemment construite à La Soukra.

Ce bien se compose d’un :

Salon spacieux,
Une cuisine moderne,
Deux chambres à coucher dont une suite parentale,
Une salle de bain.

Résidence sécurisée, calme, avec ascenseur et parking. Première mise en vente depuis la construction, directement du promoteur via notre agence.

Pour plus d'informations, contactez nous !",109.0,À Vendre,2,2
160000.0,S+1 proche des facultés,Appartements,Sousse,41 minutes ago,"S+1 disponible dans un projet direct promoteur, avec un design moderne, des finitions de qualité et un bon emplacement.

Résidence sécurisée situé proche de toutes les commodités",51.0,À Vendre,1,1
,A vendre Appartement S+4 à La Soukra,Appartements,Ariana,41 minutes ago,"À 5 minutes de Carrefour La Marsa et à 10 minutes de Gammarth, notre agence immobilière REMAX One met à votre disposition un appartement S+4 de 169 m² à la vente, situé au RDC d’une résidence R2 récemment construite à La Soukra.

Ce bien se compose d’un :

Salon spacieux,
Une cuisine moderne,
Trois chambres à coucher dont une suite parentale,
Une salle de bain.

Résidence sécurisée, calme, avec ascenseur et parking. Première mise en vente depuis la construction, directement du promoteur via notre agence.

Pour plus d'informations, contactez nous !",169.0,À Vendre,2,4
130000.0,A vendre S+2 à Hammam Lif,Maisons et Villas,Ben Arous,42 minutes ago,"🏠 Maison S+2 à vendre – Hammam-Lif (Centre-ville)
Maison S+2 (salon + 2 chambres) située au 1er étage, d’une surface d’environ 70 m², avec séjour et buanderie.
Emplacement : Carré central d’Hammam-Lif, proche de toutes les commodités.

idéal pour une petite famille ou un investissement locatif. Proche commerces, transports et services.

💰 Prix : 130m negociable 

📞 Contact : Afficher le numéro  ou Afficher le numéro",75.0,À Vendre,1,3
