,price,superficie,chambres,bains,city
1,430000.0,132.0,3,1,ariana
12,330000.0,90.0,2,1,ariana
16,210000.0,160.0,2,1,nabeul
18,315000.0,41.0,1,1,tunis
20,160000.0,124.0,3,1,sousse
22,265000.0,105.0,2,1,sousse
28,300000.0,92.7,2,1,tunis
31,350000.0,92.0,2,1,tunis
32,240000.0,100.0,2,1,nabeul
38,160000.0,51.0,1,1,sousse
40,130000.0,75.0,3,1,ben arous
42,3000000.0,180.0,3,2,ariana
47,420000.0,135.0,4,2,tunis
49,450000.0,126.0,2,2,tunis
50,400000.0,120.0,2,2,tunis
51,560000.0,121.0,2,2,tunis
53,280000.0,130.0,0,1,tunis
55,620000.0,165.0,3,3,tunis
64,250000.0,190.0,3,1,tunis
73,275000.0,68.0,1,1,nabeul
76,95000.0,50.0,1,1,tunis
77,450000.0,190.0,4,3,tunis
81,395000.0,176.0,4,3,tunis
83,2000000.0,45.0,1,1,tunis
84,430000.0,95.0,0,2,tunis
85,274000.0,65.0,1,1,ariana
86,200000.0,56.0,1,1,tunis
90,950000.0,330.0,2,2,tunis
91,227000.0,57.0,1,1,tunis
92,240000.0,46.0,0,1,tunis
93,1200000.0,107.0,2,1,tunis
95,420000.0,300.0,2,2,nabeul
102,350000.0,99.0,2,1,monastir
104,108000.0,82.0,1,1,monastir
110,740000.0,183.0,1,1,tunis
111,259000.0,114.0,3,1,monastir
112,355000.0,116.0,2,2,tunis
113,241000.0,64.0,1,1,tunis
114,193000.0,47.0,1,1,tunis
115,279000.0,134.0,3,2,tunis
118,222002.0,57.0,3,1,tunis
124,360000.0,106.0,2,2,tunis
125,233000.0,83.0,2,1,tunis
128,186001.0,55.0,0,2,tunis
130,611000.0,130.0,2,2,nabeul
131,3500000.0,60.0,1,2,tunis
132,250000.0,170.0,3,2,ben arous
133,333000.0,58.0,1,1,nabeul
134,381002.0,125.0,0,2,tunis
137,234000.0,60.0,1,1,nabeul
138,397000.0,146.0,3,2,tunis
141,1100000.0,62.0,1,1,tunis
144,357000.0,107.0,0,2,tunis
146,330000.0,117.0,2,2,tunis
148,565000.0,124.0,3,2,tunis
157,175000.0,100.0,2,1,bizerte
167,950000.0,300.0,4,4,nabeul
169,700000.0,507.0,4,2,tunis
170,680000.0,300.0,4,2,tunis
171,230000.0,90.0,2,2,nabeul
176,300000.0,170.0,5,2,ariana
181,270000.0,72.0,2,1,tunis
186,160000.0,65.0,1,1,ben arous
187,420000.0,110.0,2,3,tunis
199,545000.0,400.0,3,2,ben arous
205,235000.0,56.0,1,1,tunis
207,340000.0,180.0,4,3,ariana
214,120000.0,100.0,2,1,ben arous
222,203000.0,47.0,6,3,tunis
232,412000.0,112.0,2,1,tunis
235,1500000.0,453.0,6,3,tunis
246,350000.0,180.0,3,2,tunis
247,1399999.0,340.0,4,2,tunis
251,370000.0,100.0,4,2,tunis
258,235000.0,126.0,2,1,sousse
259,250000.0,100.0,2,2,sousse
260,125000.0,80.0,2,1,sousse
264,295000.0,113.0,2,2,sousse
267,360000.0,122.0,3,2,tunis
268,2000000.0,68.0,1,1,ariana
269,178000.0,150.0,1,1,nabeul
271,686000.0,130.0,3,2,ariana
272,693494.0,162.0,3,2,ariana
278,86000.0,107.0,3,2,sousse
283,1350000.0,300.0,4,3,ariana
285,256000.0,63.0,1,1,ariana
286,445000.0,157.0,4,2,tunis
289,850000.0,305.0,4,3,ariana
311,280000.0,296.0,4,2,tunis
316,355000.0,147.0,3,3,ariana
318,430000.0,130.0,3,2,ariana
319,698000.0,100.0,2,1,bizerte
320,382000.0,56.0,6,3,tunis
321,300000.0,150.0,4,2,nabeul
325,368000.0,155.0,3,2,ariana
326,430000.0,145.0,4,2,ariana
342,430000.0,350.0,5,1,tunis
348,950000.0,580.0,7,3,tunis
350,190000.0,100.0,2,1,ariana
357,1050000.0,420.0,4,4,nabeul
358,890000.0,485.0,4,4,nabeul
359,1150000.0,650.0,4,4,nabeul
362,930000.0,510.0,4,3,nabeul
373,370000.0,130.0,2,2,ariana
377,220000.0,306.0,4,1,manouba
386,418000.0,110.0,2,1,nabeul
404,360000.0,106.0,5,3,tunis
410,289000.0,69.0,2,1,tunis
417,230000.0,110.0,2,1,nabeul
422,120000.0,100.0,2,2,ben arous
433,230000.0,90.0,2,1,tunis
435,395000.0,180.0,3,2,ariana
438,390000.0,300.0,4,2,ben arous
441,215000.0,73.0,1,1,nabeul
443,297000.0,93.0,2,1,tunis
455,325000.0,135.0,2,1,ariana
456,240000.0,90.0,2,1,ben arous
464,270000.0,94.0,2,1,tunis
465,170001.0,100.0,1,2,nabeul
470,310000.0,260.0,5,3,tunis
477,325000.0,135.0,3,1,tunis
511,180000.0,94.0,2,1,tunis
518,220000.0,75.0,2,1,tunis
522,440000.0,388.0,4,3,ariana
533,670000.0,300.0,4,2,nabeul
541,675000.0,423.0,7,3,tunis
543,500000.0,211.0,2,2,nabeul
545,405000.0,176.0,4,2,tunis
559,200000.0,80.0,2,1,ben arous
560,145000.0,73.0,1,1,mahdia
572,180000.0,70.0,2,2,tunis
579,850000.0,404.0,6,3,ariana
581,700000.0,170.0,3,2,ariana
583,165000.0,110.0,2,1,nabeul
604,350000.0,270.0,2,1,tunis
612,350000.0,200.0,4,4,nabeul
614,199997.0,117.0,2,1,nabeul
617,190000.0,115.0,3,1,ariana
620,180000.0,90.0,2,2,tunis
622,280000.0,69.0,1,1,nabeul
623,280000.0,67.5,1,1,sousse
624,495000.0,350.0,5,5,nabeul
627,315000.0,104.0,2,1,ariana
629,235600.0,62.0,1,1,nabeul
632,300000.0,156.0,3,2,tunis
637,460000.0,222.0,5,3,ariana
638,285000.0,60.0,2,1,ariana
644,650000.0,465.0,3,1,tunis
645,480000.0,85.0,1,1,ariana
648,260000.0,100.0,2,1,ariana
650,320000.0,131.0,4,2,tunis
653,218000.0,30.0,6,3,tunis
655,178000.0,257.0,2,1,ariana
658,1350000.0,100.0,2,1,tunis
663,460000.0,183.0,4,2,ariana
669,449996.0,252.0,1,2,bizerte
684,450000.0,186.0,8,2,tunis
685,364999.0,105.0,0,1,tunis
687,180000.0,105.0,2,1,nabeul
688,380000.0,168.0,2,2,ben arous
689,620000.0,157.4,3,3,sousse
697,215000.0,67.89,1,1,sousse
698,360000.0,150.0,3,2,ariana
699,580000.0,486.0,5,2,ariana
703,230000.0,100.0,2,1,tunis
710,340000.0,133.0,3,3,sousse
714,180000.0,90.0,2,1,sousse
715,230640.0,76.0,2,1,sousse
716,349000.0,115.0,4,2,sousse
718,290000.0,90.0,1,1,sousse
719,880000.0,310.0,4,3,sousse
720,65000.0,70.0,2,1,sousse
723,297000.0,120.0,3,2,tunis
724,295000.0,140.0,1,1,tunis
725,1050000.0,230.0,2,5,tunis
730,980000.0,515.0,6,2,tunis
731,220000.0,104.0,2,1,tunis
732,270000.0,160.0,3,1,tunis
733,480000.0,294.0,4,2,tunis
734,121000.0,45.0,0,1,tunis
735,185000.0,65.0,1,1,tunis
737,98000.0,115.0,3,2,sousse
738,140000.0,110.0,2,1,sousse
743,285000.0,125.0,4,1,tunis
744,70000.0,75.0,2,1,sousse
746,950000.0,70.0,1,1,tunis
751,190000.0,120.0,2,1,ariana
756,320000.0,100.0,3,1,monastir
757,270000.0,103.0,2,1,monastir
762,2000000.0,696.0,8,5,medenine
776,290000.0,100.0,2,1,nabeul
777,365000.0,100.0,4,1,monastir
778,380000.0,120.0,3,1,monastir
779,150000.0,60.0,2,1,monastir
785,160000.0,90.0,2,1,monastir
788,219999.0,61.0,1,1,ariana
793,120000.0,40.0,1,1,ariana
794,785000.0,204.0,3,1,nabeul
796,385000.0,102.0,2,1,nabeul
