price,superficie,chambres,bains,city
430000.0,132.0,3,1.0,ariana
330000.0,90.0,2,1.0,ariana
210000.0,160.0,2,1.0,nabeul
315000.0,41.0,1,1.0,tunis
160000.0,124.0,3,1.0,sousse
265000.0,105.0,2,1.0,sousse
300000.0,92.7,2,1.0,tunis
350000.0,92.0,2,1.0,tunis
240000.0,100.0,2,1.0,nabeul
160000.0,51.0,1,1.0,sousse
130000.0,75.0,3,1.0,ben arous
3000000.0,180.0,3,2.0,ariana
420000.0,135.0,4,2.0,tunis
450000.0,126.0,2,2.0,tunis
400000.0,120.0,2,2.0,tunis
560000.0,121.0,2,2.0,tunis
280000.0,130.0,0,1.0,tunis
620000.0,165.0,3,3.0,tunis
250000.0,190.0,3,1.0,tunis
275000.0,68.0,1,1.0,nabeul
95000.0,50.0,1,1.0,tunis
450000.0,190.0,4,3.0,tunis
395000.0,176.0,4,3.0,tunis
2000000.0,45.0,1,1.0,tunis
430000.0,95.0,0,2.0,tunis
274000.0,65.0,1,1.0,ariana
200000.0,56.0,1,1.0,tunis
950000.0,330.0,2,2.0,tunis
227000.0,57.0,1,1.0,tunis
240000.0,46.0,0,1.0,tunis
1200000.0,107.0,2,1.0,tunis
420000.0,300.0,2,2.0,nabeul
350000.0,99.0,2,1.0,monastir
108000.0,82.0,1,1.0,monastir
740000.0,183.0,1,1.0,tunis
259000.0,114.0,3,1.0,monastir
355000.0,116.0,2,2.0,tunis
241000.0,64.0,1,1.0,tunis
193000.0,47.0,1,1.0,tunis
279000.0,134.0,3,2.0,tunis
222002.0,57.0,3,1.0,tunis
360000.0,106.0,2,2.0,tunis
233000.0,83.0,2,1.0,tunis
186001.0,55.0,0,2.0,tunis
611000.0,130.0,2,2.0,nabeul
3500000.0,60.0,1,2.0,tunis
250000.0,170.0,3,2.0,ben arous
333000.0,58.0,1,1.0,nabeul
381002.0,125.0,0,2.0,tunis
234000.0,60.0,1,1.0,nabeul
397000.0,146.0,3,2.0,tunis
1100000.0,62.0,1,1.0,tunis
357000.0,107.0,0,2.0,tunis
330000.0,117.0,2,2.0,tunis
565000.0,124.0,3,2.0,tunis
175000.0,100.0,2,1.0,bizerte
